,imdb_id,director
0,tt0111161,Frank Darabont
1,tt0068646,Francis Ford Coppola
2,tt0071562,Francis Ford Coppola
3,tt0468569,Christopher Nolan
4,tt0050083,Sidney Lumet
5,tt0108052,Steven Spielberg
6,tt0167260,Peter Jackson
7,tt0110912,Quentin Tarantino
8,tt0060196,Sergio Leone
9,tt0120737,Peter Jackson
10,tt0137523,David Fincher
11,tt0109830,Robert Zemeckis
12,tt1375666,Christopher Nolan
13,tt0080684,Irvin Kershner
14,tt0167261,Peter Jackson
15,tt0133093,Lana Wachowski
16,tt0133093,Lilly Wachowski
17,tt0099685,Martin Scorsese
18,tt0073486,Milos Forman
19,tt0047478,Akira Kurosawa
20,tt0114369,David Fincher
21,tt0118799,Roberto Benigni
22,tt0317248,Fernando Meirelles
23,tt0317248,Kátia Lund(co-director)
24,tt0102926,Jonathan Demme
25,tt0038650,Frank Capra
26,tt0076759,George Lucas
27,tt6751668,Bong Joon Ho
28,tt0120815,Steven Spielberg
29,tt0245429,Hayao Miyazaki
30,tt0120689,Frank Darabont
31,tt0816692,Christopher Nolan
32,tt0110413,Luc Besson
33,tt0114814,Bryan Singer
34,tt0056058,Masaki Kobayashi
35,tt0110357,Roger Allers
36,tt0110357,Rob Minkoff
37,tt0120586,Tony Kaye
38,tt0253474,Roman Polanski
39,tt0103064,James Cameron
40,tt0088763,Robert Zemeckis
41,tt0027977,Charles Chaplin
42,tt0054215,Alfred Hitchcock
43,tt0172495,Ridley Scott
44,tt0021749,Charles Chaplin
45,tt0407887,Martin Scorsese
46,tt1675434,Olivier Nakache
47,tt1675434,Éric Toledano
48,tt2582802,Damien Chazelle
49,tt0482571,Christopher Nolan
50,tt0064116,Sergio Leone
51,tt0095327,Isao Takahata
52,tt0034583,Michael Curtiz
53,tt7286456,Todd Phillips
54,tt0047396,Alfred Hitchcock
55,tt0095765,Giuseppe Tornatore
56,tt0078748,Ridley Scott
57,tt0078788,Francis Ford Coppola
58,tt0209144,Christopher Nolan
59,tt0082971,Steven Spielberg
60,tt0032553,Charles Chaplin
61,tt0405094,Florian Henckel von Donnersmarck
62,tt1853728,Quentin Tarantino
63,tt0050825,Stanley Kubrick
64,tt0081505,Stanley Kubrick
65,tt4154756,Anthony Russo
66,tt4154756,Joe Russo
67,tt0910970,Andrew Stanton
68,tt0066763,Hrishikesh Mukherjee
69,tt0043014,Billy Wilder
70,tt4633694,Bob Persichetti
71,tt4633694,Peter Ramsey
72,tt4633694,Rodney Rothman
73,tt0119698,Hayao Miyazaki
74,tt0057012,Stanley Kubrick
75,tt0364569,Chan-wook Park
76,tt0051201,Billy Wilder
77,tt4154796,Anthony Russo
78,tt4154796,Joe Russo
79,tt1345836,Christopher Nolan
80,tt0087843,Sergio Leone
81,tt0090605,James Cameron
82,tt6033368,Megumi Shiraishi
83,tt2380307,Lee Unkrich
84,tt2380307,Adrian Molina(co-director)
85,tt0169547,Sam Mendes
86,tt0112573,Mel Gibson
87,tt0082096,Wolfgang Petersen
88,tt1187043,Rajkumar Hirani
89,tt0114709,John Lasseter
90,tt0057565,Akira Kurosawa
91,tt8579674,Sam Mendes
92,tt0086190,Richard Marquand
93,tt0086879,Milos Forman
94,tt0105236,Quentin Tarantino
95,tt0361748,Quentin Tarantino
96,tt0119217,Gus Van Sant
97,tt0062622,Stanley Kubrick
98,tt0052357,Alfred Hitchcock
99,tt0180093,Darren Aronofsky
100,tt0022100,Fritz Lang
101,tt5074352,Nitesh Tiwari
102,tt0338013,Michel Gondry
103,tt0033467,Orson Welles
104,tt2106476,Thomas Vinterberg
105,tt0093058,Stanley Kubrick
106,tt0053125,Alfred Hitchcock
107,tt0066921,Stanley Kubrick
108,tt0040522,Vittorio De Sica
109,tt0012349,Charles Chaplin
110,tt0208092,Guy Ritchie
111,tt0045152,Stanley Donen
112,tt0045152,Gene Kelly
113,tt0086250,Brian De Palma
114,tt0075314,Martin Scorsese
115,tt0211915,Jean-Pierre Jeunet
116,tt0056172,David Lean
117,tt0070735,George Roy Hill
118,tt0435761,Lee Unkrich
119,tt0017136,Fritz Lang
120,tt0044741,Akira Kurosawa
121,tt0059578,Sergio Leone
122,tt1832382,Asghar Farhadi
123,tt0036775,Billy Wilder
124,tt0053604,Billy Wilder
125,tt1255953,Denis Villeneuve
126,tt0056592,Robert Mulligan
127,tt0097576,Steven Spielberg
128,tt1049413,Pete Docter
129,tt1049413,Bob Peterson(co-director)
130,tt2095684,Babis Makridis
131,tt0113277,Michael Mann
132,tt0071853,Terry Gilliam
133,tt0071853,Terry Jones
134,tt2759632,Shinzo Yoshida
135,tt0095016,John McTiernan
136,tt0055630,Akira Kurosawa
137,tt0372784,Christopher Nolan
138,tt0091251,Elem Klimov
139,tt6966692,Peter Farrelly
140,tt0118849,Majid Majidi
141,tt0363163,Oliver Hirschbiegel
142,tt0105695,Clint Eastwood
143,tt0053291,Billy Wilder
144,tt0347149,Hayao Miyazaki
145,tt0089881,Akira Kurosawa
146,tt0057115,John Sturges
147,tt0042192,Joseph L. Mankiewicz
148,tt0268978,Ron Howard
149,tt0112641,Martin Scorsese
150,tt0457430,Guillermo del Toro
151,tt0096283,Hayao Miyazaki
152,tt1305806,Juan José Campanella
153,tt0081398,Martin Scorsese
154,tt0120735,Guy Ritchie
155,tt0993846,Martin Scorsese
156,tt0055031,Stanley Kramer
157,tt0040897,John Huston
158,tt0469494,Paul Thomas Anderson
159,tt5027774,Martin McDonagh
160,tt0015864,Charles Chaplin
161,tt0071315,Roman Polanski
162,tt0046912,Alfred Hitchcock
163,tt0434409,James McTeigue
164,tt0050976,Ingmar Bergman
165,tt0477348,Ethan Coen
166,tt0477348,Joel Coen
167,tt2096673,Pete Docter
168,tt2096673,Ronnie Del Carmen(co-director)
169,tt1291584,Gavin O'Connor
170,tt1130884,Martin Scorsese
171,tt0117951,Danny Boyle
172,tt0080678,David Lynch
173,tt0167404,M. Night Shyamalan
174,tt0084787,John Carpenter
175,tt0031381,Victor Fleming
176,tt0031381,George Cukor
177,tt0031381,Sam Wood
178,tt3170832,Lenny Abrahamson
179,tt0107290,Steven Spielberg
180,tt0050986,Ingmar Bergman
181,tt0083658,Ridley Scott
182,tt0050212,David Lean
183,tt0266543,Andrew Stanton
184,tt0266543,Lee Unkrich(co-director)
185,tt0079944,Andrei Tarkovsky
186,tt0047296,Elia Kazan
187,tt0041959,Carol Reed
188,tt0116282,Joel Coen
189,tt0116282,Ethan Coen
190,tt0266697,Quentin Tarantino
191,tt0120382,Peter Weir
192,tt1205489,Clint Eastwood
193,tt0046438,Yasujirô Ozu
194,tt0077416,Michael Cimino
195,tt0353969,Bong Joon Ho
196,tt4729430,Sergio Pablos
197,tt4729430,Carlos Martínez López(co-director)
198,tt8108198,Sriram Raghavan
199,tt0116231,Yavuz Turgul
200,tt0118715,Joel Coen
201,tt0118715,Ethan Coen
202,tt0978762,Adam Elliot
203,tt0107207,Jim Sheridan
204,tt2267998,David Fincher
205,tt2119532,Mel Gibson
206,tt0035446,Ernst Lubitsch
207,tt2278388,Wes Anderson
208,tt1950186,James Mangold
209,tt0060827,Ingmar Bergman
210,tt0112471,Richard Linklater
211,tt0264464,Steven Spielberg
212,tt0892769,Dean DeBlois
213,tt0892769,Chris Sanders
214,tt0017925,Clyde Bruckman
215,tt0017925,Buster Keaton
216,tt0356910,Doug Liman
217,tt0015324,Buster Keaton
218,tt1392214,Denis Villeneuve
219,tt2024544,Steve McQueen
220,tt0061512,Stuart Rosenberg
221,tt1392190,George Miller
222,tt0072684,Stanley Kubrick
223,tt0074958,Sidney Lumet
224,tt0046268,Henri-Georges Clouzot
225,tt0092005,Rob Reiner
226,tt0758758,Sean Penn
227,tt0405159,Clint Eastwood
228,tt0079470,Terry Jones
229,tt1028532,Lasse Hallström
230,tt0091763,Oliver Stone
231,tt0052618,William Wyler
232,tt1979320,Ron Howard
233,tt0019254,Carl Theodor Dreyer
234,tt3315342,James Mangold
235,tt0097165,Peter Weir
236,tt1201607,David Yates
237,tt0060107,Andrei Tarkovsky
238,tt0053198,François Truffaut
239,tt0395169,Terry George
240,tt0245712,Alejandro G. Iñárritu
241,tt0405508,Rakeysh Omprakash Mehra
242,tt1895587,Tom McCarthy
243,tt0087544,Hayao Miyazaki
244,tt4016934,Chan-wook Park
245,tt8613070,Céline Sciamma
246,tt0075148,John G. Avildsen
247,tt0032976,Alfred Hitchcock
248,tt0198781,Pete Docter
249,tt0198781,David Silverman(co-director)
250,tt0198781,Lee Unkrich(co-director)
251,tt0113247,Mathieu Kassovitz
252,tt0025316,Frank Capra
253,tt1954470,Anurag Kashyap
254,tt0118694,Kar-Wai Wong
255,tt0381681,Richard Linklater
256,tt0093779,Rob Reiner
257,tt1454029,Tate Taylor
258,tt0087884,Wim Wenders
259,tt4857264,Oriol Paulo
260,tt4430212,Nishikant Kamat
261,tt0088247,James Cameron
262,tt0043338,Billy Wilder
263,tt0169102,Ashutosh Gowariker
264,tt0064115,George Roy Hill
265,tt0103639,Ron Clements
266,tt0103639,John Musker
267,tt2338151,Rajkumar Hirani
268,tt0094625,Katsuhiro Ôtomo
269,tt0050613,Akira Kurosawa
